grov_nm,strata_nm,to_est
Dillonwood,SE_W-under5-Low-one,10
Garfield,SE_W-under5-Low-one,9
Dillonwood,SE_W-under5-Unburned-none,8
Garfield,NW_E-under5-Low-one,7
Garfield,NW_E-under5-Unburned-none,7
South Fork,NW_E-under5-Low-one,6
Giant Forest,SE_W-under5-Low-many,6
Redwood Mountain,SE_W-under5-Low-many,6
Garfield,SE_W-under5-Low-many,5
South Fork,SE_W-under5-Low-one,5
Redwood Mountain,SE_W-under5-Moderate-many,5
Garfield,SE_W-under5-Unburned-none,5
Redwood Mountain,SE_W-under5-Unburned-none,5
Dillonwood,NW_E-under5-Low-one,4
Dillonwood,SE_W-under5-Moderate-one,4
Giant Forest,SE_W-under5-Unburned-none,4
Giant Forest,NW_E-under5-Low-one,3
Redwood Mountain,NW_E-under5-Moderate-many,3
Eden Creek,NW_E-under5-Unburned-none,3
Giant Forest,NW_E-under5-Unburned-none,3
Redwood Mountain,NW_E-under5-Unburned-none,3
Atwell,SE_W-under5-Low-many,3
Garfield,SE_W-under5-Moderate-one,3
Redwood Mountain,NW_E-under5-Low-many,2
Garfield,NW_E-under5-Low-many,2
Eden Creek,SE_W-under5-Low-many,2
Redwood Creek,SE_W-under5-Low-many,2
Redwood Meadow,SE_W-under5-Low-many,2
Giant Forest,SE_W-under5-Low-one,2
Muir,SE_W-under5-Low-one,2
Oriole Lake,SE_W-under5-Low-one,2
Atwell,SE_W-under5-Moderate-many,2
Giant Forest,SE_W-under5-Moderate-many,2
South Fork,SE_W-under5-Moderate-one,2
Cedar Flat,SE_W-under5-Unburned-none,2
Little Redwood Meadow,SE_W-under5-Unburned-none,2
Muir,SE_W-under5-Unburned-none,2
Oriole Lake,SE_W-under5-Unburned-none,2
East Fork,NW_E-over5-Low-one,1
Redwood Meadow,NW_E-over5-Low-one,1
General Grant,NW_E-over5-Unburned-none,1
Giant Forest,NW_E-over5-Unburned-none,1
Giant Forest,NW_E-under5-High-one,1
Redwood Mountain,NW_E-under5-High-one,1
Atwell,NW_E-under5-Low-many,1
Eden Creek,NW_E-under5-Low-many,1
Giant Forest,NW_E-under5-Low-many,1
Muir,NW_E-under5-Low-many,1
Redwood Creek,NW_E-under5-Low-many,1
Suwanee,NW_E-under5-Low-many,1
Muir,NW_E-under5-Low-one,1
Oriole Lake,NW_E-under5-Low-one,1
Pine Ridge,NW_E-under5-Low-one,1
Granite Creek,NW_E-under5-Low-one,1
Atwell,NW_E-under5-Moderate-many,1
Eden Creek,NW_E-under5-Moderate-many,1
Suwanee,NW_E-under5-Moderate-many,1
Dillonwood,NW_E-under5-Moderate-one,1
Big Springs,NW_E-under5-Moderate-one,1
Eden Creek,NW_E-under5-Moderate-one,1
Giant Forest,NW_E-under5-Moderate-one,1
New Oriole Lake,NW_E-under5-Moderate-one,1
South Fork,NW_E-under5-Moderate-one,1
Garfield,NW_E-under5-Moderate-one,1
Dillonwood,NW_E-under5-Unburned-none,1
Muir,NW_E-under5-Unburned-none,1
Oriole Lake,NW_E-under5-Unburned-none,1
General Grant,SE_W-over5-High-one,1
East Fork,SE_W-over5-Low-one,1
East Fork,SE_W-under5-Low-many,1
Muir,SE_W-under5-Low-many,1
Skagway,SE_W-under5-Low-many,1
Suwanee,SE_W-under5-Low-many,1
Cedar Flat,SE_W-under5-Low-one,1
Pine Ridge,SE_W-under5-Low-one,1
Redwood Meadow,SE_W-under5-Low-one,1
Redwood Mountain,SE_W-under5-Low-one,1
Skagway,SE_W-under5-Low-one,1
Redwood Creek,SE_W-under5-Moderate-many,1
Garfield,SE_W-under5-Moderate-many,1
Muir,SE_W-under5-Moderate-one,1
New Oriole Lake,SE_W-under5-Moderate-one,1
Oriole Lake,SE_W-under5-Moderate-one,1
Pine Ridge,SE_W-under5-Moderate-one,1
Redwood Meadow,SE_W-under5-Moderate-one,1
Squirrel Creek,SE_W-under5-Moderate-one,1
Redwood Meadow,SE_W-under5-Unburned-none,1
Skagway,SE_W-under5-Unburned-none,1
