"","strt_grv","point_id"
"1","Atwell-NW_E-under5-Low-many","1"
"2","Atwell-SE_W-under5-Low-many","16"
"3","Atwell-SE_W-under5-Low-many","14"
"4","Atwell-SE_W-under5-Low-many","17"
"5","Atwell-SE_W-under5-Moderate-many","1"
"6","Atwell-SE_W-under5-Moderate-many","3"
"7","Cedar Flat-SE_W-under5-Unburned-none","19"
"8","Dillonwood-NW_E-under5-Low-one","3"
"9","Dillonwood-NW_E-under5-Low-one","2"
"10","Dillonwood-NW_E-under5-Moderate-one","2"
"11","Dillonwood-NW_E-under5-Unburned-none","4"
"12","Dillonwood-SE_W-under5-Low-one","16"
"13","Dillonwood-SE_W-under5-Low-one","53"
"14","Dillonwood-SE_W-under5-Low-one","35"
"15","Dillonwood-SE_W-under5-Low-one","4"
"16","Dillonwood-SE_W-under5-Low-one","55"
"17","Dillonwood-SE_W-under5-Low-one","50"
"18","Dillonwood-SE_W-under5-Low-one","45"
"19","Dillonwood-SE_W-under5-Low-one","54"
"20","Dillonwood-SE_W-under5-Low-one","32"
"21","Dillonwood-SE_W-under5-Low-one","39"
"22","Dillonwood-SE_W-under5-Moderate-one","5"
"23","Dillonwood-SE_W-under5-Moderate-one","8"
"24","Dillonwood-SE_W-under5-Moderate-one","16"
"25","Dillonwood-SE_W-under5-Moderate-one","7"
"26","Dillonwood-SE_W-under5-Unburned-none","23"
"27","Dillonwood-SE_W-under5-Unburned-none","32"
"28","Dillonwood-SE_W-under5-Unburned-none","29"
"29","Dillonwood-SE_W-under5-Unburned-none","22"
"30","Dillonwood-SE_W-under5-Unburned-none","54"
"31","Dillonwood-SE_W-under5-Unburned-none","67"
"32","Dillonwood-SE_W-under5-Unburned-none","57"
"33","Dillonwood-SE_W-under5-Unburned-none","43"
"34","East Fork-NW_E-over5-Low-one","6"
"35","East Fork-SE_W-over5-Low-one","3"
"36","Eden Creek-NW_E-under5-Low-many","11"
"37","Eden Creek-NW_E-under5-Unburned-none","16"
"38","Eden Creek-NW_E-under5-Unburned-none","17"
"39","Eden Creek-NW_E-under5-Unburned-none","6"
"40","Eden Creek-SE_W-under5-Low-many","27"
"41","Eden Creek-SE_W-under5-Low-many","28"
"42","Garfield-NW_E-under5-Low-many","33"
